blk_street,latitude,longitude,
713 CLEMENTI WEST ST 2,1.3040621,103.762272,
731 CLEMENTI WEST ST 2,1.3043517,103.7628152,
728 CLEMENTI WEST ST 2,1.3054443,103.7637205,
706 CLEMENTI WEST ST 2,1.306769,103.7623626,
710 CLEMENTI WEST ST 2,1.3061881,103.7615478,
610 CLEMENTI WEST ST 1,1.3049033,103.7688807,
113 CLEMENTI ST 13,1.3235584,103.7702387,
412 COMMONWEALTH AVE WEST,1.3108936,103.7706914,
411 COMMONWEALTH AVE WEST,1.3109451,103.7697254,
315 CLEMENTI AVE 4,1.3184252,103.7653953,
311 CLEMENTI AVE 4,1.3199055,103.7657348,
301 CLEMENTI AVE 4,1.3221245,103.7648974,
609 CLEMENTI WEST ST 1,1.3041176,103.7654405,
729 CLEMENTI WEST ST 2,1.3050799,103.7634489,
707 CLEMENTI WEST ST 2,1.3063299,103.7623626,
371 CLEMENTI AVE 4,1.3203483,103.7683375,
205 CLEMENTI AVE 6,1.321114,103.7623626,
414 COMMONWEALTH AVE WEST,1.3116203,103.7715967,
415 COMMONWEALTH AVE WEST,1.3109617,103.7715967,
413 COMMONWEALTH AVE WEST,1.3113665,103.7711893,
336 CLEMENTI AVE 2,1.3166471,103.7691976,
337 CLEMENTI AVE 2,1.3159525,103.7690618,
717 CLEMENTI WEST ST 2,1.3032459,103.762371,
723 CLEMENTI WEST ST 2,1.3031043,103.7634489,
724 CLEMENTI WEST ST 2,1.303617,103.7633584,
103 CLEMENTI ST 14,1.3226876,103.7688807,
204 CLEMENTI AVE 6,1.320908,103.7631999,
201 CLEMENTI AVE 6,1.320232,103.7629963,
110 CLEMENTI ST 13,1.3228212,103.771144,
111 CLEMENTI ST 13,1.323217,103.770966,
115 CLEMENTI ST 13,1.3239894,103.7716873,
116 CLEMENTI ST 13,1.3244983,103.772321,
63 CIRCUIT RD,1.3265555,103.886624,
62 CIRCUIT RD,1.3262825,103.8871308,
81 MACPHERSON LANE,1.3322292,103.8862162,
40 CIRCUIT RD,1.3276542,103.8864427,
1 JLN PASAR BARU,1.316716,103.898214,
2 GEYLANG SERAI,1.3173789,103.897547,
16 EUNOS CRES,1.3230877,103.9044755,
18 EUNOS CRES,1.3238223,103.9044705,
19 EUNOS CRES,1.3243382,103.9032913,
24 EUNOS CRES,1.3238359,103.9023841,
20 EUNOS CRES,1.3247046,103.9032068,
21 EUNOS CRES,1.3251067,103.9032521,
59 SIMS DR,1.3188252,103.8796363,
45 SIMS DR,1.3174127,103.8783863,
87 CIRCUIT RD,1.3233405,103.8857164,
85 CIRCUIT RD,1.322728,103.8857424,
98 ALJUNIED CRES,1.3208159,103.8856777,
41 SIMS DR,1.3169724,103.8756402,
128 GEYLANG EAST AVE 1,1.3185818,103.8877115,
58 DAKOTA CRES,1.3073722,103.8895235,
102 ALJUNIED CRES,1.3205361,103.8825867,
99 ALJUNIED CRES,1.3214068,103.8844057,
106 ALJUNIED CRES,1.319113,103.8829083,
112 ALJUNIED CRES,1.3203815,103.8851348,
108 ALJUNIED CRES,1.319098,103.8852646,
12 PINE CL,1.3085807,103.8822768,
22 HAIG RD,1.3137116,103.8951378,
65 CIRCUIT RD,1.32743,103.8872582,
34 CIRCUIT RD,1.3291483,103.8874848,
23 BALAM RD,1.3310199,103.8865333,
